département;commune;code_postal;type_lieu;nom;adresse;latitude;longitude;description;contacts;classements;source;zone_tournee;statut
Ardèche (07);Alba-la-Romaine;7400;Office de tourisme;Office de Tourisme Intercommunal Porte Sud Ardèche - Bureau d'Alba-la-Romaine;118 rue du Barry, 07400 Alba-la-Romaine;44.554365;4.598297;;#;;DATAtourisme;Z9 - Ardèche rhodanienne (Bourg / Viviers / Alba);
Ardèche (07);Alba-la-Romaine;7400;Site touristique;MuséAl;Route départementale 107 99 Route de Viviers, 07400 Alba-la-Romaine;44.561465;4.597914;;#https://museal.ardeche.fr/;;DATAtourisme;Z9 - Ardèche rhodanienne (Bourg / Viviers / Alba);
Ardèche (07);Aubenas;7200;Hôtel;Hôtel Auberge des Pins;95 Route de Vals sur la N 102, 07200 Aubenas;44.629635;4.380284;;#http://www.aubergedespins-aubenas.com/;;DATAtourisme;Z7b - Aubenas / Vals / Villeneuve (Haute Ardèche);
Ardèche (07);Aubenas;7200;Hôtel;Hôtel Best Western Aubenas;07200 Aubenas;44.622;4.388;;;;Compilation locale;Z7b - Aubenas / Vals / Villeneuve (Haute Ardèche);
Ardèche (07);Aubenas;7200;Hôtel;Hôtel Ibis Budget Aubenas;42 Route de Montélimar, 07200 Aubenas;44.615156;4.404332;;#http://www.all.accor.com/;;DATAtourisme;Z7b - Aubenas / Vals / Villeneuve (Haute Ardèche);
Ardèche (07);Aubenas;7200;Hôtel;Hôtel La Pinède;Route de Montélimar, 07200 Aubenas;44.62;4.39;;;;Compilation locale;Z7b - Aubenas / Vals / Villeneuve (Haute Ardèche);
Ardèche (07);Aubenas;7200;Hôtel;Hôtel Restaurant Le Fournil;34 Bd Gambetta, 07200 Aubenas;44.621;4.391;;;;Compilation locale;Z7b - Aubenas / Vals / Villeneuve (Haute Ardèche);
Ardèche (07);Aubenas;7200;Hôtel;Hôtel Ibis Styles Aubenas;42 Route de Montélimar, 07200 Aubenas;44.615232;4.403436;;#http://www.all.accor.com/;;DATAtourisme;Z7b - Aubenas / Vals / Villeneuve (Haute Ardèche);
Ardèche (07);Aubenas;7200;Hôtel;Villa Elisa M - résidence de tourisme;3 rue Jean Beaussier, 07200 Aubenas;44.614356;4.390205;;#http://www.villa-elisa-m.com/;;DATAtourisme;Z7b - Aubenas / Vals / Villeneuve (Haute Ardèche);
Ardèche (07);Aubenas;7200;Office de tourisme;Office de Tourisme d'Aubenas;53 Boulevard Gambetta, 07200 Aubenas;44.619404;4.390204;;#https://www.aubenas-vals.com/;;DATAtourisme;Z7b - Aubenas / Vals / Villeneuve (Haute Ardèche);
